true_class,predicted_class,error_count
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,3
Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,1
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1
"Pepper,_bell___healthy",Strawberry___Leaf_scorch,1
Soybean___healthy,Corn_(maize)___healthy,1
Soybean___healthy,Tomato___Late_blight,1
Tomato___Bacterial_spot,Tomato___Target_Spot,1
Tomato___Early_blight,Tomato___Septoria_leaf_spot,1
Tomato___Late_blight,Tomato___Early_blight,1
